"exposure","outcome","analysis","beta","se","p_value","n","beta_primary","exp_label","out_label","direction_match","pct_change"
"log_LBXBMN","BMXWAIST","Age < 50",8.82033428394828,1.1640480747518,6.44071657322225e-05,2121,7.16341135638076,"Blood manganese","Waist circumference",TRUE,23.1303612920627
"log_LBXBMN","BMXWAIST","Age >= 50",4.7420174033794,1.81690277809845,0.0311329357890011,2572,7.16341135638076,"Blood manganese","Waist circumference",TRUE,-33.8022463395813
"log_LBXBMN","BMXWAIST","Excl. outliers (>P99)",6.21572424021511,1.12340088635449,0.000551909906213369,4647,7.16341135638076,"Blood manganese","Waist circumference",TRUE,-13.2295504057784
"log_LBXBMN","BMXWAIST","Adjust for education",7.2601006301306,0.916168392319176,0.015553920985167,4693,7.16341135638076,"Blood manganese","Waist circumference",TRUE,1.34976576018793
"log_LBXBMN","BMXWAIST","Cotinine instead of smoking",7.22607601827073,0.925913658626035,5.21690761907852e-05,4693,7.16341135638076,"Blood manganese","Waist circumference",TRUE,0.874787985393978
"log_LBXBMN","BMXWAIST","Adults 20+ only",7.16341135638079,0.934470756688445,5.92947736151506e-05,4693,7.16341135638076,"Blood manganese","Waist circumference",TRUE,4.33958670568521e-13
"log_LBXBSE","LBXTC","Primary model",39.5894816211534,4.88005050196954,8.33636069677473e-05,4855,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,-1.65119443380132e-12
"log_LBXBSE","LBXTC","Females only",56.224177158792,8.47780475947044,0.000163851847011183,2521,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,42.0179675420386
"log_LBXBSE","LBXTC","Males only",22.4907792962902,6.12313463350852,0.00628148951668509,2334,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,-43.1900131668495
"log_LBXBSE","LBXTC","Age < 50",28.8584795549735,9.12719105793006,0.015888072662873,2170,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,-27.1056897609052
"log_LBXBSE","LBXTC","Age >= 50",40.7489796406175,8.66223550792574,0.00219768000713006,2685,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,2.92880323758471
"log_LBXBSE","LBXTC","Excl. outliers (>P99)",49.3769115993079,4.8407288763181,1.87694033945152e-05,4806,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,24.722298896998
"log_LBXBSE","LBXTC","Adjust for education",40.1537253035512,4.9808275306837,0.078567514404778,4855,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,1.42523634887818
"log_LBXBSE","LBXTC","Cotinine instead of smoking",39.438458596193,4.86843916443084,8.41353246410869e-05,4855,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,-0.381472600238417
"log_LBXBSE","LBXTC","Adults 20+ only",39.5894816211534,4.88005050196954,8.33636069677473e-05,4855,39.5894816211541,"Blood selenium","Total cholesterol",TRUE,-1.65119443380132e-12
"log_LBXBMN","BMXBMI","Primary model",2.5850281728092,0.366613550934479,0.000107052659899111,4876,2.58502817280921,"Blood manganese","BMI",TRUE,-2.57689189534515e-13
"log_LBXBMN","BMXBMI","Females only",2.73586792349373,0.573265384494439,0.00101192521221704,2532,2.58502817280921,"Blood manganese","BMI",TRUE,5.83512985549401
"log_LBXBMN","BMXBMI","Males only",2.15404747194578,0.614014249045116,0.00663801021294981,2344,2.58502817280921,"Blood manganese","BMI",TRUE,-16.6721858352158
"log_LBXBMN","BMXBMI","Age < 50",3.26186920494758,0.527545974309261,0.000264254455561566,2179,2.58502817280921,"Blood manganese","BMI",TRUE,26.183120139957
"log_LBXBMN","BMXBMI","Age >= 50",1.72726620021862,0.69580058078807,0.0379684231564632,2697,2.58502817280921,"Blood manganese","BMI",TRUE,-33.1819197025785
"log_LBXBMN","BMXBMI","Excl. outliers (>P99)",2.28428135317459,0.408548263206973,0.000515502751007534,4828,2.58502817280921,"Blood manganese","BMI",TRUE,-11.6341795728976
"log_LBXBMN","BMXBMI","Adjust for education",2.61893234667364,0.364050830392918,0.0187804195018644,4876,2.58502817280921,"Blood manganese","BMI",TRUE,1.31155916291584
"log_LBXBMN","BMXBMI","Cotinine instead of smoking",2.61531492458713,0.364641545606683,9.49916696491059e-05,4876,2.58502817280921,"Blood manganese","BMI",TRUE,1.17162172917462
"log_LBXBMN","BMXBMI","Adults 20+ only",2.5850281728092,0.366613550934479,0.000107052659899111,4876,2.58502817280921,"Blood manganese","BMI",TRUE,-2.57689189534515e-13
"log_LBXBPB","BMXWAIST","Primary model",-4.35211828713584,0.624049892214509,0.000115605148317774,4693,-4.35211828713584,"Blood lead","Waist circumference",TRUE,0
"log_LBXBPB","BMXWAIST","Females only",-6.65697821488441,0.959760356145009,6.78869734170858e-05,2412,-4.35211828713584,"Blood lead","Waist circumference",TRUE,-52.9594964034265
"log_LBXBPB","BMXWAIST","Males only",-2.13857695831234,0.828633623716286,0.0296553680734621,2281,-4.35211828713584,"Blood lead","Waist circumference",TRUE,50.8612400395085
"log_LBXBPB","BMXWAIST","Age < 50",-2.98705828161697,0.937326907309994,0.0128654773907782,2121,-4.35211828713584,"Blood lead","Waist circumference",TRUE,31.3654159987739
"log_LBXBPB","BMXWAIST","Age >= 50",-5.9960645840327,1.00528283089517,0.000336449521427481,2572,-4.35211828713584,"Blood lead","Waist circumference",TRUE,-37.7734746262779
"log_LBXBPB","BMXWAIST","Excl. outliers (>P99)",-4.83000764256692,0.695262425192315,0.000118772146193718,4651,-4.35211828713584,"Blood lead","Waist circumference",TRUE,-10.9806150454054
"log_LBXBPB","BMXWAIST","Adjust for education",-4.34815969458559,0.603435301235001,0.0187206136310809,4693,-4.35211828713584,"Blood lead","Waist circumference",TRUE,0.0909578345320142
"log_LBXBPB","BMXWAIST","Cotinine instead of smoking",-4.46103484457541,0.649457758346349,0.000128509597085373,4693,-4.35211828713584,"Blood lead","Waist circumference",TRUE,-2.50261022917307
"log_LBXBPB","BMXWAIST","Adults 20+ only",-4.35211828713584,0.624049892214509,0.000115605148317774,4693,-4.35211828713584,"Blood lead","Waist circumference",TRUE,0
"log_LBXBPB","BMXBMI","Primary model",-1.94585455197195,0.288717432619485,0.000146602208533911,4876,-1.94585455197195,"Blood lead","BMI",TRUE,0
"log_LBXBPB","BMXBMI","Females only",-2.92481784620365,0.414612211615185,5.95745812591745e-05,2532,-1.94585455197195,"Blood lead","BMI",TRUE,-50.3101988398674
"log_LBXBPB","BMXBMI","Males only",-1.0647801092189,0.348722145626817,0.0137177688729227,2344,-1.94585455197195,"Blood lead","BMI",TRUE,45.2795632571899
"log_LBXBPB","BMXBMI","Age < 50",-1.44147168047939,0.414939679885944,0.0083941220609281,2179,-1.94585455197195,"Blood lead","BMI",TRUE,25.9208927502525
"log_LBXBPB","BMXBMI","Age >= 50",-2.66586151729005,0.397039000553878,0.000150464112581835,2697,-1.94585455197195,"Blood lead","BMI",TRUE,-37.0020957932562
"log_LBXBPB","BMXBMI","Excl. outliers (>P99)",-2.17134017187664,0.30575302634108,0.000101830435062843,4831,-1.94585455197195,"Blood lead","BMI",TRUE,-11.5879997133484
"log_LBXBPB","BMXBMI","Adjust for education",-1.94040612623702,0.281033139198822,0.02033859153042,4876,-1.94585455197195,"Blood lead","BMI",TRUE,0.280001695368817
"log_LBXBPB","BMXBMI","Cotinine instead of smoking",-1.98687669679541,0.295581595414301,0.000149297230535546,4876,-1.94585455197195,"Blood lead","BMI",TRUE,-2.10818145590011
"log_LBXBPB","BMXBMI","Adults 20+ only",-1.94585455197195,0.288717432619485,0.000146602208533911,4876,-1.94585455197195,"Blood lead","BMI",TRUE,0
"log_LBXTHG","log_LBXSAPSI","Primary model",-0.0368869769949992,0.00498812262291823,0.000150064549448113,4833,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,2.6335721321883e-13
"log_LBXTHG","log_LBXSAPSI","Females only",-0.0332080679015034,0.00940149637788529,0.00770705892129842,2512,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,9.97346324691941
"log_LBXTHG","log_LBXSAPSI","Males only",-0.037814392900355,0.00947360772865946,0.00399664267288804,2321,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,-2.51420956908838
"log_LBXTHG","log_LBXSAPSI","Age < 50",-0.0353915045508443,0.00770187601709854,0.00249839729869029,2162,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,4.05420168846504
"log_LBXTHG","log_LBXSAPSI","Age >= 50",-0.0404254414188808,0.0100811976440023,0.00512441123707514,2671,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,-9.59272001162156
"log_LBXTHG","log_LBXSAPSI","Excl. outliers (>P99)",-0.0358536219855991,0.00450098076736632,9.36809394152162e-05,4783,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,2.80140877237038
"log_LBXTHG","log_LBXSAPSI","Adjust for education",-0.0322381274041845,0.00542415963034025,0.106119217963484,4833,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,12.6029562993059
"log_LBXTHG","log_LBXSAPSI","Cotinine instead of smoking",-0.036032260874105,0.00498049019865618,0.000172196719848056,4833,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,2.31712162536421
"log_LBXTHG","log_LBXSAPSI","Adults 20+ only",-0.0368869769949992,0.00498812262291823,0.000150064549448113,4833,-0.0368869769949993,"Blood mercury (total)","Alk Phosphatase (log)",TRUE,2.6335721321883e-13
"log_URXUDMA","LBXSUA","Primary model",0.201549960921666,0.0273378851883278,0.000152957064386246,1593,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,1.79023841708117e-13
"log_URXUDMA","LBXSUA","Females only",0.190623478171739,0.0419260306082893,0.00188262144526347,813,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,-5.42122791786288
"log_URXUDMA","LBXSUA","Males only",0.226626642796763,0.0768427213651258,0.0184474735219775,780,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,12.4419185002189
"log_URXUDMA","LBXSUA","Age < 50",0.204278177257812,0.0550604606455054,0.00755412463149932,697,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,1.35361789388133
"log_URXUDMA","LBXSUA","Age >= 50",0.178568437093137,0.0835189740805122,0.0698342521231797,896,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,-11.4023955764797
"log_URXUDMA","LBXSUA","Excl. outliers (>P99)",0.219822153061753,0.0321389633807359,0.000244245204962559,1575,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,9.06583760003246
"log_URXUDMA","LBXSUA","Adjust for education",0.203099747928478,0.0296627886484861,0.020671596807755,1593,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,0.768934411956711
"log_URXUDMA","LBXSUA","Cotinine instead of smoking",0.201816524564861,0.0275589503467998,0.000159566815795655,1593,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,0.132256856799095
"log_URXUDMA","LBXSUA","Adults 20+ only",0.201549960921666,0.0273378851883278,0.000152957064386246,1593,0.201549960921666,"Dimethylarsonic acid (urinary)","Uric acid",TRUE,1.79023841708117e-13
"log_LBXBSE","LBXRBCSI","Primary model",0.550648665661448,0.0772821835584145,0.000189432036569425,4873,0.550648665661438,"Blood selenium","RBC count",TRUE,1.83475056857773e-12
"log_LBXBSE","LBXRBCSI","Females only",0.562269545281039,0.0620885566821354,1.77057161074273e-05,2530,0.550648665661438,"Blood selenium","RBC count",TRUE,2.1103982165546
"log_LBXBSE","LBXRBCSI","Males only",0.52527295190367,0.116116997033672,0.00194053684115604,2343,0.550648665661438,"Blood selenium","RBC count",TRUE,-4.60833110841867
"log_LBXBSE","LBXRBCSI","Age < 50",0.535039668182472,0.101149004590483,0.00113610666571458,2178,0.550648665661438,"Blood selenium","RBC count",TRUE,-2.8346563702677
"log_LBXBSE","LBXRBCSI","Age >= 50",0.52143321306178,0.095384545027252,0.000939208100380468,2695,0.550648665661438,"Blood selenium","RBC count",TRUE,-5.30564303911729
"log_LBXBSE","LBXRBCSI","Excl. outliers (>P99)",0.627394790655571,0.0919616942786735,0.000248122186394152,4824,0.550648665661438,"Blood selenium","RBC count",TRUE,13.9374032445799
"log_LBXBSE","LBXRBCSI","Adjust for education",0.550588541297418,0.0780158391746062,0.0896095286283382,4873,0.550648665661438,"Blood selenium","RBC count",TRUE,-0.0109188249729736
"log_LBXBSE","LBXRBCSI","Cotinine instead of smoking",0.550341517090158,0.0773145294784822,0.000190590352631445,4873,0.550648665661438,"Blood selenium","RBC count",TRUE,-0.0557794089831714
"log_LBXBSE","LBXRBCSI","Adults 20+ only",0.550648665661448,0.0772821835584145,0.000189432036569425,4873,0.550648665661438,"Blood selenium","RBC count",TRUE,1.83475056857773e-12
"log_LBXBPB","LBXTC","Primary model",9.10206678879978,1.30048579584163,0.000211747747907786,4855,9.10206678879978,"Blood lead","Total cholesterol",TRUE,3.90319447355865e-14
"log_LBXBPB","LBXTC","Females only",6.53772352584124,1.81225500427616,0.00690661048313192,2521,9.10206678879978,"Blood lead","Total cholesterol",TRUE,-28.1731976095144
"log_LBXBPB","LBXTC","Males only",10.2373451006566,1.91274499701606,0.000684062455285958,2334,9.10206678879978,"Blood lead","Total cholesterol",TRUE,12.4727530372973
"log_LBXBPB","LBXTC","Age < 50",5.30718406351077,1.57725856771156,0.0120050443024763,2170,9.10206678879978,"Blood lead","Total cholesterol",TRUE,-41.6925387754644
"log_LBXBPB","LBXTC","Age >= 50",9.66232749051169,1.71833149716486,0.000796502142743929,2685,9.10206678879978,"Blood lead","Total cholesterol",TRUE,6.15531301529576
"log_LBXBPB","LBXTC","Excl. outliers (>P99)",10.0553384845605,1.34205925968119,0.000138176781186273,4810,9.10206678879978,"Blood lead","Total cholesterol",TRUE,10.4731344856063
"log_LBXBPB","LBXTC","Adjust for education",9.18680924682066,1.32914219774643,0.091471072705744,4855,9.10206678879978,"Blood lead","Total cholesterol",TRUE,0.931024348504677
"log_LBXBPB","LBXTC","Cotinine instead of smoking",9.30809243256843,1.2949709898764,0.000179337062632059,4855,9.10206678879978,"Blood lead","Total cholesterol",TRUE,2.26350397716451
"log_LBXBPB","LBXTC","Adults 20+ only",9.10206678879978,1.30048579584163,0.000211747747907786,4855,9.10206678879978,"Blood lead","Total cholesterol",TRUE,3.90319447355865e-14
"log_LBXBGM","BMXWAIST","Primary model",-1.78258170566132,0.281788420364878,0.000226375306560693,4693,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,0
"log_LBXBGM","BMXWAIST","Females only",-2.86783875373573,0.555625169007323,0.000593924815100918,2413,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,-60.8811952140948
"log_LBXBGM","BMXWAIST","Males only",-0.909156348299942,0.402536753214574,0.0502942211604058,2280,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,48.9977741041242
"log_LBXBGM","BMXWAIST","Age < 50",-2.47370536872681,0.458327660982573,0.000648146726174819,2121,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,-38.7709388506874
"log_LBXBGM","BMXWAIST","Age >= 50",-1.16554793292245,0.551391324339037,0.0674699106716609,2572,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,34.6146137806321
"log_LBXBGM","BMXWAIST","Excl. outliers (>P99)",-1.88574351841941,0.297122078764219,0.000221392849297315,4643,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,-5.78721370417148
"log_LBXBGM","BMXWAIST","Adjust for education",-1.54929427679278,0.329796685894661,0.0424488182391285,4693,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,13.087053913301
"log_LBXBGM","BMXWAIST","Cotinine instead of smoking",-1.78819988376475,0.283604686831074,0.000231473038527925,4693,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,-0.315170860644746
"log_LBXBGM","BMXWAIST","Adults 20+ only",-1.78258170566132,0.281788420364878,0.000226375306560693,4693,-1.78258170566132,"Methylmercury (blood)","Waist circumference",TRUE,0
"log_LBXBPB","LBXGH","Primary model",-0.189035197919655,0.0291074713606088,0.000335902220644617,4874,-0.189035197919653,"Blood lead","HbA1c",TRUE,-1.17462042714081e-12
"log_LBXBPB","LBXGH","Females only",-0.166466940833958,0.0439402807244131,0.00532334261347183,2531,-0.189035197919653,"Blood lead","HbA1c",TRUE,11.9386534010916
"log_LBXBPB","LBXGH","Males only",-0.208915292928265,0.0393433546400828,0.000719609437756037,2343,-0.189035197919653,"Blood lead","HbA1c",TRUE,-10.5166102542775
"log_LBXBPB","LBXGH","Age < 50",-0.126013416551409,0.0314576361744163,0.00515166366091743,2178,-0.189035197919653,"Blood lead","HbA1c",TRUE,33.3386491308516
"log_LBXBPB","LBXGH","Age >= 50",-0.29141364501693,0.0461858923809675,0.000400457225186145,2696,-0.189035197919653,"Blood lead","HbA1c",TRUE,-54.1584044791442
"log_LBXBPB","LBXGH","Excl. outliers (>P99)",-0.212931527425743,0.0323341826449333,0.000308486596735233,4829,-0.189035197919653,"Blood lead","HbA1c",TRUE,-12.6412063832933
"log_LBXBPB","LBXGH","Adjust for education",-0.196126731314254,0.0291145247083656,0.0938194670830733,4874,-0.189035197919653,"Blood lead","HbA1c",TRUE,-3.75143543247158
"log_LBXBPB","LBXGH","Cotinine instead of smoking",-0.188395246314429,0.0291300652542534,0.000344561836331383,4874,-0.189035197919653,"Blood lead","HbA1c",TRUE,0.338535686616554
"log_LBXBPB","LBXGH","Adults 20+ only",-0.189035197919655,0.0291074713606088,0.000335902220644617,4874,-0.189035197919653,"Blood lead","HbA1c",TRUE,-1.17462042714081e-12
"log_URXUIO","BMXBMI","Primary model",1.17730887940372,0.205467642152921,0.000439008741416173,1600,1.17730887940372,"Urinary iodine","BMI",TRUE,-3.77207050434363e-13
"log_URXUIO","BMXBMI","Females only",1.07143446259957,0.318785355122588,0.00837597337045708,818,1.17730887940372,"Urinary iodine","BMI",TRUE,-8.99291754749841
"log_URXUIO","BMXBMI","Males only",1.24988951469286,0.355429343335646,0.00655071849903781,782,1.17730887940372,"Urinary iodine","BMI",TRUE,6.1649611719483
"log_URXUIO","BMXBMI","Age < 50",1.84334868923143,0.307092803048868,0.000322465391095985,698,1.17730887940372,"Urinary iodine","BMI",TRUE,56.5730728341268
"log_URXUIO","BMXBMI","Age >= 50",0.666044668225321,0.238343739449261,0.0233964360050927,902,1.17730887940372,"Urinary iodine","BMI",TRUE,-43.426514496123
"log_URXUIO","BMXBMI","Excl. outliers (>P99)",1.17440993318681,0.218094417463158,0.000657796669849695,1586,1.17730887940372,"Urinary iodine","BMI",TRUE,-0.246234974323309
"log_URXUIO","BMXBMI","Adjust for education",1.17937923886676,0.215287570730282,0.0119612518480201,1600,1.17730887940372,"Urinary iodine","BMI",TRUE,0.175855249141108
"log_URXUIO","BMXBMI","Cotinine instead of smoking",1.18567654090863,0.205262503229124,0.000416230031225625,1600,1.17730887940372,"Urinary iodine","BMI",TRUE,0.710744788499741
"log_URXUIO","BMXBMI","Adults 20+ only",1.17730887940372,0.205467642152921,0.000439008741416173,1600,1.17730887940372,"Urinary iodine","BMI",TRUE,-3.77207050434363e-13
