"screen","exposure","outcome","beta","se","t_value","p_value","n","df","weight","exp_label","out_label","chem_class","out_domain","type","p_fdr_global","p_bonf_global","sig_nominal","sig_fdr05","sig_fdr01","sig_bonf","direction"
"Expanded","log_URXUTL","eGFR",7.68382733494537,0.970473277474929,7.9176083600549,0.000215485155645072,1589,6,NA,"Urinary thallium","eGFR (kidney)","Urinary metals/elements","Kidney","continuous",0.0316472678571849,0.602496495183621,TRUE,TRUE,FALSE,FALSE,"Positive"
"Novelty","log_LBXBGM","BMXWAIST",-1.78258170566132,0.281788420364878,-6.32595797709899,0.000226375306560693,4693,8,"WTMEC2YR","Methylmercury (blood)","Waist circumference","Heavy metals","Anthropometric","continuous",0.0316472678571849,0.632945357143698,TRUE,TRUE,FALSE,FALSE,"Negative"
"Expanded","log_URXOXY","eGFR",3.22550881132924,0.427768265594205,7.54031813661715,0.000282130155217667,1589,6,NA,"Oxychlordane (urinary)","eGFR (kidney)","VOC metabolites","Kidney","continuous",0.036222744796443,0.788835913988597,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_URXUCD","LBXSBU",-1.02293388958937,0.13685873449449,-7.47437782007665,0.000296077483266768,1589,6,NA,"Urinary cadmium","BUN","Urinary metals/elements","Kidney","continuous",0.036222744796443,0.827832643213883,TRUE,TRUE,FALSE,FALSE,"Negative"
"Novelty","log_SSGLYP","LBXSCLSI",0.455408806803899,0.0687651812192174,6.62266569693309,0.000297969646036548,1374,7,"WTSSBJ2Y","Glyphosate (surplus serum)","Chloride","Surplus serum","Other","continuous",0.036222744796443,0.833123130318188,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","LBXGH",-0.189035197919653,0.0291074713606084,-6.49438749171036,0.000335902220644618,4874,7,NA,"Blood lead","HbA1c","Heavy metals","Metabolic","continuous",0.0385239400318864,0.939182608922352,TRUE,TRUE,FALSE,FALSE,"Negative"
"Expanded","log_URXUCO","eGFR",3.75108645953934,0.515921656571646,7.27065129319384,0.000344455830041903,1589,6,NA,"Urinary cobalt","eGFR (kidney)","Urinary metals/elements","Kidney","continuous",0.0385239400318864,0.963098500797161,TRUE,TRUE,FALSE,FALSE,"Positive"
"Novelty","log_URXUIO","BMXBMI",1.17730887940372,0.205467642152921,5.72989920489522,0.000439008741416173,1600,8,"WTSA2YR","Urinary iodine","BMI","Urinary elements","Anthropometric","continuous",0.0472103246538315,1,TRUE,TRUE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","LBXHGB",0.22657746918709,0.037228461816487,6.08613566426609,0.000497842667860424,4873,7,NA,"Blood lead","Hemoglobin","Heavy metals","Hematology","continuous",0.0503909382256759,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBMN","eGFR",4.49384633804103,0.740041162018894,6.07242754684273,0.00050463028266056,4834,7,NA,"Blood manganese","eGFR (kidney)","Heavy metals","Kidney","continuous",0.0503909382256759,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","LBXRBCSI",0.0829146357919021,0.013815872261131,6.00140434311705,0.000541499533300346,4873,7,NA,"Blood lead","RBC count","Heavy metals","Hematology","continuous",0.0508703822806962,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXHPM","eGFR",2.8933846583925,0.433226114480465,6.67869401608514,0.000545819552367985,1545,6,NA,"HPMA (acrolein metabolite)","eGFR (kidney)","VOC metabolites","Kidney","continuous",0.0508703822806962,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXTHG","BMXWAIST",-1.72640126694393,0.313824742964562,-5.50116364514596,0.000572957472374767,4693,8,NA,"Blood mercury (total)","Waist circumference","Heavy metals","Anthropometric","continuous",0.0516770675083822,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXECP","LBXSTB",-0.0499766436506251,0.00764052862668947,-6.54099291978954,0.000610352892639345,1580,6,NA,"MECPP (phthalate)","Total bilirubin","Phthalates","Liver","continuous",0.0533295839943628,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Novelty","log_URXUIO","BMXWAIST",3.1596708464355,0.588651304279862,5.36764434812719,0.000671494073134768,1550,8,"WTSA2YR","Urinary iodine","Waist circumference","Urinary elements","Anthropometric","continuous",0.0555943039091404,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBCD","BMXBMI",-1.42030571123295,0.264882914101587,-5.36201331086324,0.000676039460983825,4876,8,NA,"Blood cadmium","BMI","Heavy metals","Anthropometric","continuous",0.0555943039091404,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXUCD","eGFR",4.23826557201333,0.665012030749692,6.37321638713119,0.000701149607130264,1589,6,NA,"Urinary cadmium","eGFR (kidney)","Urinary metals/elements","Kidney","continuous",0.0560118371867491,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBCD","BMXWAIST",-3.11197992325411,0.601390739093389,-5.17463891769517,0.000848303143167078,4693,8,NA,"Blood cadmium","Waist circumference","Heavy metals","Anthropometric","continuous",0.0658848774526431,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXBMN","log_LBXSATSI",0.117822213434805,0.021452752373149,5.49217235091359,0.00091408867277599,4833,7,NA,"Blood manganese","log_LBXSATSI","Heavy metals","Other","continuous",0.0690754575427478,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Novelty","log_URXUIO","LBXSBU",0.911878304080029,0.167020509416689,5.45967861830093,0.000946193033838276,1590,7,"WTSA2YR","Urinary iodine","BUN","Urinary elements","Kidney","continuous",0.0696198874371532,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBSE","avg_DBP",9.59226210761623,1.77067909521258,5.41727867774066,0.000989991026259773,4662,7,NA,"Blood selenium","avg_DBP","Heavy metals","Cardiovascular","continuous",0.0709747412672391,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXPFUA","log_LBXHSCRP",-0.174776114761816,0.0330342859178712,-5.29074898716864,0.001134711984304,1594,7,NA,"PFUA","CRP (log)","PFAS","Inflammation","continuous",0.0776165248193787,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXBSE","log_LBXSATSI",0.332531224631579,0.0628845639490358,5.28796263739819,0.00113815361859604,4833,7,NA,"Blood selenium","log_LBXSATSI","Heavy metals","Other","continuous",0.0776165248193787,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXHEM","LBXSUA",-0.287276532168851,0.0501316399431258,-5.73044353814808,0.0012259057062391,1545,6,NA,"log_URXHEM","Uric acid","Other","Metabolic","continuous",0.0816102941582029,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXATC","log_LBXSTR",0.0914692728682838,0.0163658137865379,5.58904519270067,0.00139486698431584,1545,6,NA,"log_URXATC","log_LBXSTR","VOC metabolites","Other","continuous",0.0906350225496298,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBMN","log_LBXSASSI",0.0957263572365446,0.0188327586290217,5.08297053672361,0.00142630221465798,4820,7,NA,"Blood manganese","log_LBXSASSI","Heavy metals","Other","continuous",0.0906350225496298,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXATC","LBXSBU",1.04028956673349,0.188217416457241,5.52706325649634,0.00147719450724996,1545,6,NA,"log_URXATC","BUN","VOC metabolites","Kidney","continuous",0.0917830187171308,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXIPM3","LBXWBCSI",0.444703564201868,0.0819187063046402,5.4285960345626,0.00161963395356075,1554,6,NA,"log_URXIPM3","WBC","Other","Hematology","continuous",0.0984455768294751,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXATC","eGFR",3.78470800506755,0.703484392797949,5.37994594310008,0.00169574174064786,1545,6,NA,"log_URXATC","eGFR (kidney)","VOC metabolites","Kidney","continuous",0.100576130041593,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBCD","log_LBXIN",-0.0932646012720545,0.0189936257643359,-4.91031056572549,0.00173264544850275,2342,7,NA,"Blood cadmium","log_LBXIN","Heavy metals","Metabolic","continuous",0.100576130041593,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Novelty","log_LBXBGM","BMXBMI",-0.566869059213293,0.123315713280121,-4.59689235163086,0.00176260027612233,4876,8,"WTMEC2YR","Methylmercury (blood)","BMI","Heavy metals","Anthropometric","continuous",0.100576130041593,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXPFHS","LBXHGB",0.357750042165135,0.0735622535441844,4.8632284212209,0.00182837835558523,1595,7,NA,"PFHxS","Hemoglobin","PFAS","Hematology","continuous",0.102242917644326,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Novelty","log_URXUDMA","LBXSBU",0.876994586127705,0.181653475070071,4.82784370510618,0.00190418607662362,1593,7,"WTSA2YR","Dimethylarsonic acid (urinary)","BUN","Urinary metals/elements","Kidney","continuous",0.104394201377248,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Novelty","log_URXUIO","LBXSCLSI",0.49331937792229,0.10258022393873,4.80910802277975,0.00194573002969902,1590,7,"WTSA2YR","Urinary iodine","Chloride","Urinary elements","Other","continuous",0.104620406981509,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBCD","log_HOMA_IR",-0.109280045697177,0.0229386439802369,-4.76401507392191,0.00204989308922407,2342,7,NA,"Blood cadmium","log_HOMA_IR","Heavy metals","Metabolic","continuous",0.106322766040386,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Novelty","log_LBXBGM","LBXHGB",0.0835938637491061,0.0176028909116089,4.74887131715262,0.00208624724462997,4873,7,"WTMEC2YR","Methylmercury (blood)","Hemoglobin","Heavy metals","Hematology","continuous",0.106322766040386,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBMN","log_LBXIN",0.188280532756348,0.0396654016759222,4.74671942804598,0.00209147071967856,2342,7,NA,"Blood manganese","log_LBXIN","Heavy metals","Metabolic","continuous",0.106322766040386,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXOP3","BMXBMI",-0.810945312871476,0.176475769014954,-4.59522186755713,0.00249827263374198,1597,7,NA,"log_URXOP3","BMI","Other","Anthropometric","continuous",0.123050852215193,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXPFUA","BMXWAIST",-4.71612091687895,1.09088794844921,-4.32319462652722,0.00253512570230586,1531,8,NA,"PFUA","Waist circumference","PFAS","Anthropometric","continuous",0.123050852215193,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXUMO","log_LBXIN",0.140712732624883,0.0287085918136893,4.90141535112796,0.00270702042028681,778,6,NA,"log_URXUMO","log_LBXIN","Urinary metals/elements","Metabolic","continuous",0.123050852215193,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXOP1","BMXBMI",-1.03458012220707,0.2291428963868,-4.51499976006532,0.00274853368163234,1599,7,NA,"log_URXOP1","BMI","Other","Anthropometric","continuous",0.123050852215193,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXUCO","LBXHGB",-0.339932586528783,0.0696107749005257,-4.88333288940611,0.00275691774403447,1599,6,NA,"Urinary cobalt","Hemoglobin","Urinary metals/elements","Hematology","continuous",0.123050852215193,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXOP4","BMXWAIST",-2.08923259901654,0.463001124581371,-4.51237046325871,0.00275719135268075,1536,7,NA,"log_URXOP4","Waist circumference","Other","Anthropometric","continuous",0.123050852215193,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXCEM","eGFR",1.79406636045041,0.367565202534769,4.88094723896152,0.00276357823092537,1545,6,NA,"log_URXCEM","eGFR (kidney)","VOC metabolites","Kidney","continuous",0.123050852215193,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXPHG","LBXSBU",1.44727242106657,0.296710577459733,4.8777243920904,0.00277260503918353,1545,6,NA,"log_URXPHG","BUN","PAHs","Kidney","continuous",0.123050852215193,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","LBXSUA",0.246482912725403,0.0551700147805494,4.46769705800954,0.00290898226386744,4832,7,NA,"Blood lead","Uric acid","Heavy metals","Metabolic","continuous",0.12683017628584,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","LBXGLU",-5.98284601263886,1.34250122419592,-4.45649203502384,0.00294848406959212,2362,7,NA,"Blood lead","Fasting glucose","Heavy metals","Metabolic","continuous",0.12683017628584,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXUCO","LBXSUA",-0.302418919876682,0.0635521644646346,-4.75859354947653,0.0031309118252099,1589,6,NA,"Urinary cobalt","Uric acid","Urinary metals/elements","Metabolic","continuous",0.132636810049801,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXOP3","BMXWAIST",-1.7889569583904,0.412999441510052,-4.33162076890329,0.00343103814130234,1542,7,NA,"log_URXOP3","Waist circumference","Other","Anthropometric","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXHEM","eGFR",2.60444671984593,0.559154314970185,4.65783174718915,0.00347520008735226,1545,6,NA,"log_URXHEM","eGFR (kidney)","Other","Kidney","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXOP4","BMXBMI",-0.924302314637905,0.214601939717304,-4.30705480041556,0.0035358539360815,1591,7,NA,"log_URXOP4","BMI","Other","Anthropometric","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXPFNA","LBXHGB",0.312166439845187,0.0726673141433844,4.29583016140148,0.00358491369159592,1595,7,NA,"PFNA","Hemoglobin","PFAS","Hematology","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Broad","log_LBXBMN","BMXWAIST",7.51521103358822,0.901244954964333,8.33869969778154,0.00361522913815734,4756,NA,"WTMEC2YR","Blood manganese","Waist circumference","Heavy metals","Anthropometric","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXPFNA","LBXTC",5.81242674725579,1.35883949107302,4.2774932473194,0.0036666763836543,1595,7,NA,"PFNA","Total cholesterol","PFAS","Metabolic","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXMB3","log_LBXSTR",0.0885448199963711,0.0192505062429131,4.59960994682767,0.00369353274848341,1545,6,NA,"log_URXMB3","log_LBXSTR","Phthalates","Other","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBPB","log_LBXSAPSI",0.0509345706798026,0.0119843392808975,4.25009418424843,0.00379268993533437,4833,7,NA,"Blood lead","Alk Phosphatase (log)","Heavy metals","Liver","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXMHP","LBXSUA",-0.325328718070682,0.0712915502651545,-4.56335592171425,0.00383729304509406,1578,6,NA,"MEHP (phthalate)","Uric acid","Phthalates","Metabolic","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXTHG","LBXSBU",0.399406940715982,0.0942181460907769,4.23917214770032,0.00384424204395201,4832,7,NA,"Blood mercury (total)","BUN","Heavy metals","Kidney","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Novelty","log_SSGLYP","LBXSNASI",0.404397879589132,0.0954473817572706,4.2368671842413,0.00385521952589061,1374,7,"WTSSBJ2Y","Glyphosate (surplus serum)","Sodium","Surplus serum","Other","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXMHP","LBXSTB",-0.0457937750872726,0.0100510940043759,-4.55609857666593,0.00386682326372506,1580,6,NA,"MEHP (phthalate)","Total bilirubin","Phthalates","Liver","continuous",0.138610741607375,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXPFUA","BMXBMI",-1.91441533861803,0.479764263808354,-3.99032500549637,0.00400349628593228,1597,8,NA,"PFUA","BMI","PFAS","Anthropometric","continuous",0.141693362221097,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXUCO","log_LBXHSCRP",-0.165968280008366,0.0368541049856933,-4.50338653110134,0.00408916389051589,1587,6,NA,"Urinary cobalt","CRP (log)","Urinary metals/elements","Inflammation","continuous",0.14291627797353,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXOP1","BMXWAIST",-2.22139288396011,0.531851583342451,-4.17671574840418,0.00415421633192561,1544,7,NA,"log_URXOP1","Waist circumference","Other","Anthropometric","continuous",0.143397393383506,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXUBA","eGFR",2.47769534937137,0.560377168184415,4.42147805093298,0.00446383331784909,1589,6,NA,"log_URXUBA","eGFR (kidney)","Urinary metals/elements","Kidney","continuous",0.152205828740318,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Broad","log_LBXBMN","BMXBMI",2.72840137912689,0.356821431636523,7.64640556093665,0.00464498391718622,4944,NA,"WTMEC2YR","Blood manganese","BMI","Heavy metals","Anthropometric","continuous",0.156262480799298,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXUPB","BMXBMI",-1.64363552633696,0.403420434030993,-4.07424956121752,0.00472382326924504,1599,7,NA,"Urinary lead","BMI","Urinary metals/elements","Anthropometric","continuous",0.156262480799298,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Novelty","log_LBXBGM","LBXSBU",0.385588350969818,0.0947439775142779,4.06979273074861,0.00475046883688853,4833,7,"WTMEC2YR","Methylmercury (blood)","BUN","Heavy metals","Kidney","continuous",0.156262480799298,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBMN","log_LBXSGB",0.0422068553254637,0.0105220150134629,4.01129016366732,0.00511590906022422,4832,7,NA,"Blood manganese","log_LBXSGB","Heavy metals","Other","continuous",0.166245714965095,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXOP3","avg_DBP",-1.0570870611217,0.246651483055481,-4.28575189585996,0.00517288168882806,1519,6,NA,"log_URXOP3","avg_DBP","Other","Cardiovascular","continuous",0.166245714965095,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Novelty","log_URXUIO","LBXSPH",0.0641905920039068,0.0161105737597576,3.98437653190527,0.00529425805957872,1590,7,"WTSA2YR","Urinary iodine","Phosphorus","Urinary elements","Other","continuous",0.167928121261772,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXBSE","log_LBXSTR",0.414812673252649,0.104476406720511,3.97039567375561,0.00538957767927221,4832,7,NA,"Blood selenium","log_LBXSTR","Heavy metals","Other","continuous",0.167928121261772,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXUBA","LBXSUA",-0.174442270137108,0.0410863586479346,-4.24574666331198,0.00540541162859781,1589,6,NA,"log_URXUBA","Uric acid","Urinary metals/elements","Metabolic","continuous",0.167928121261772,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXTHG","LBXHGB",0.0893101599510109,0.0226027451298309,3.9512970410457,0.00552283195815567,4873,7,NA,"Blood mercury (total)","Hemoglobin","Heavy metals","Hematology","continuous",0.16969052917586,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXCYHA","LBXWBCSI",0.506225580357018,0.120307526254197,4.20776318920745,0.00563709746499943,1554,6,NA,"log_URXCYHA","WBC","VOC metabolites","Hematology","continuous",0.171318744697157,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_LBXTHG","BMXBMI",-0.529823546362845,0.141764929976123,-3.73733861013498,0.00572716472196778,4876,8,NA,"Blood mercury (total)","BMI","Heavy metals","Anthropometric","continuous",0.172184436157225,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Novelty","log_LBXVBZ","LBXWBCSI",0.503318262735876,0.128857634093712,3.90600266934774,0.00585346482652633,2327,7,"WTMEC2YR","Blood benzene","WBC","Blood VOCs","Hematology","continuous",0.173383305121324,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXUMO","log_HOMA_IR",0.154981500575983,0.0372007574181892,4.1660845459078,0.00590422815621514,778,6,NA,"log_URXUMO","log_HOMA_IR","Urinary metals/elements","Metabolic","continuous",0.173383305121324,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXPAR","LBXRBCSI",-0.0558345333059629,0.0134416119283964,-4.15385696324176,0.00598526921566337,1604,6,NA,"log_URXPAR","RBC count","PAHs","Hematology","continuous",0.173383305121324,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_LBXPFDE","LBXHGB",0.227191862911562,0.0584812464833101,3.88486697143845,0.00601508605034635,1595,7,NA,"PFDeA","Hemoglobin","PFAS","Hematology","continuous",0.173383305121324,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXUMO","eGFR",3.28172395632207,0.796215893393159,4.121650903421,0.00620475235230282,1589,6,NA,"log_URXUMO","eGFR (kidney)","Urinary metals/elements","Kidney","continuous",0.17437609574799,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXOP4","LBXPLTSI",-5.29166921318336,1.28511590667454,-4.11765910428772,0.00623257879322026,1589,6,NA,"log_URXOP4","Platelets","Other","Hematology","continuous",0.17437609574799,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"Expanded","log_URXMC1","avg_SBP",1.79139316828868,0.435112546354231,4.11708001366221,0.0062366271726749,1518,6,NA,"MCNP (phthalate)","avg_SBP","Phthalates","Cardiovascular","continuous",0.17437609574799,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"Expanded","log_URXOP5","LBXGH",0.0885896381431305,0.0217055116034718,4.08143515626513,0.00649157942635255,1599,6,NA,"log_URXOP5","HbA1c","Other","Metabolic","continuous",0.176690212563841,1,TRUE,FALSE,FALSE,FALSE,"Positive"
