"exposure","outcome","beta","se","t_value","p_value","n","exp_label","chem_class","is_urinary","out_label","out_domain","type","p_fdr","p_bonf","sig_nom","sig_fdr05","sig_fdr01","sig_bonf05","direction"
"log_LBXPFNA","LBXTC",5.86403616762062,1.08875100516715,5.3860213582263,0.0327859253320758,1595,"PFNA","PFAS",FALSE,"Total cholesterol","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBCD","log_LBXIN",-0.0960317147499359,0.018001526225774,-5.3346429377994,0.0333890638119316,2342,"Blood cadmium","Heavy metals",FALSE,"Insulin (log)","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_URXECP","BMXBMI",0.756240198946581,0.202388783958368,3.73657168226349,0.0334232752382896,1681,"Mono-2-ethyl-5-carboxypentyl (MECPP)","Phthalates",TRUE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMC1","BMXBMI",0.638582394987248,0.171638708140467,3.72050338706021,0.0337954015361679,1681,"Mono-carboxyisononyl (MCNP)","Phthalates",TRUE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXECP","log_LBXIN",0.104819038923971,0.0200163194495291,5.23667896029892,0.0345853123530796,765,"Mono-2-ethyl-5-carboxypentyl (MECPP)","Phthalates",TRUE,"Insulin (log)","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXPFHS","LBXHGB",0.373477922354697,0.0731562532618826,5.10520845043461,0.0362924865738311,1595,"PFHxS","PFAS",FALSE,"Hemoglobin","Hematology","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXPFUA","BMXWAIST",-3.9421948528326,1.09058294373878,-3.6147593133245,0.0363813993392453,1531,"PFUA","PFAS",FALSE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_URXECP","BMXWAIST",1.67738122615007,0.464335651944695,3.61243255633073,0.0364410968370204,1618,"Mono-2-ethyl-5-carboxypentyl (MECPP)","Phthalates",TRUE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBSE","avg_DBP",7.25114165515821,1.43193787704422,5.06386608763075,0.036855010105298,4729,"Blood selenium","Heavy metals",FALSE,"Diastolic BP","Cardiovascular","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXECP","log_HOMA_IR",0.124568153566292,0.0246260346588329,5.05839268449219,0.0369304444899756,765,"Mono-2-ethyl-5-carboxypentyl (MECPP)","Phthalates",TRUE,"HOMA-IR (log)","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMHH","log_HOMA_IR",0.150790805246777,0.0299071995573221,5.0419567020229,0.037158335688159,765,"Mono-2-ethyl-5-hydroxyhexyl (MEHHP)","Phthalates",TRUE,"HOMA-IR (log)","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBSE","log_LBXSATSI",0.3170661715835,0.0638299373772294,4.96735833703966,0.0382191293394252,4833,"Blood selenium","Heavy metals",FALSE,"ALT (log)","Liver","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMOH","BMXBMI",0.611414876077288,0.173740158335597,3.51913387172284,0.0389414640790636,1681,"Mono-2-ethyl-5-oxohexyl (MEOHP)","Phthalates",TRUE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBMN","log_LBXSATSI",0.11315861541151,0.023239529496081,4.86923005177847,0.0396836742192289,4833,"Blood manganese","Heavy metals",FALSE,"ALT (log)","Liver","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXPFUA","log_LBXHSCRP",-0.161946379553281,0.0333504052952271,-4.85590439215615,0.0398888977668761,1594,"PFUA","PFAS",FALSE,"CRP (log)","Inflammation","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_URXMIB","BMXBMI",0.615668811100198,0.178810903861954,3.44312789546384,0.0411420624197613,1681,"Mono-isobutyl phthalate (MiBP)","Phthalates",TRUE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMHH","BMXWAIST",1.42438406636572,0.416233853999928,3.42207644255185,0.041779402702757,1618,"Mono-2-ethyl-5-hydroxyhexyl (MEHHP)","Phthalates",TRUE,"Waist circumference","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXP03","PHQ9_total",0.446149216942927,0.0948753111518222,4.70247961800079,0.0423684053585792,1540,"3-Hydroxyfluorene","PAHs",TRUE,"PHQ-9 depression","Mental health","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXTHG","LBXSBU",0.457886043872665,0.0989954398150724,4.62532460816393,0.0437015983254864,4832,"Blood mercury (total)","Heavy metals",FALSE,"Blood urea nitrogen","Kidney","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","LBXGLU",-6.47199608529207,1.4017750695673,-4.61700042025276,0.0438491005774145,2391,"Blood lead","Heavy metals",FALSE,"Fasting glucose","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBMN","log_LBXIN",0.184503092449239,0.0400392637295788,4.60805407650235,0.0440084425907575,2342,"Blood manganese","Heavy metals",FALSE,"Insulin (log)","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","LBXSUA",0.239248015228713,0.0523594831569244,4.56933492853001,0.0447079448451279,4832,"Blood lead","Heavy metals",FALSE,"Uric acid","Kidney","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBMN","log_LBXSASSI",0.0953496829053867,0.0208726093385834,4.56817263997419,0.0447291941494456,4820,"Blood manganese","Heavy metals",FALSE,"AST (log)","Liver","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMHH","BMXBMI",0.622156118703319,0.188190253008555,3.3059954421499,0.0455284418293586,1681,"Mono-2-ethyl-5-hydroxyhexyl (MEHHP)","Phthalates",TRUE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXPFUA","BMXBMI",-1.61423705603223,0.488656621815303,-3.30341795028894,0.0456164338268782,1597,"PFUA","PFAS",FALSE,"BMI","Anthropometric","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Negative"
"log_URXMHH","log_LBXIN",0.12779984895469,0.0287260064515413,4.44892502444707,0.0469904858795907,765,"Mono-2-ethyl-5-hydroxyhexyl (MEHHP)","Phthalates",TRUE,"Insulin (log)","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMOH","log_HOMA_IR",0.134287475103129,0.0302582044749313,4.43805167667453,0.0472049563590071,765,"Mono-2-ethyl-5-oxohexyl (MEOHP)","Phthalates",TRUE,"HOMA-IR (log)","Metabolic","continuous",0.556160213102484,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_LBXPFNA","LBXHGB",0.324116935358335,0.0746582014852018,4.3413440038812,0.0491771106457109,1595,"PFNA","PFAS",FALSE,"Hemoglobin","Hematology","continuous",0.559314894561007,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXMC1","log_HOMA_IR",0.114701664635746,0.0266045334595894,4.31135786725862,0.0498131129299902,765,"Mono-carboxyisononyl (MCNP)","Phthalates",TRUE,"HOMA-IR (log)","Metabolic","continuous",0.559314894561007,1,TRUE,FALSE,FALSE,FALSE,"Positive"
"log_URXP04","PHQ9_total",0.539076790351232,0.125373430610057,4.2997689999239,0.0500621356242877,1550,"2-Hydroxyfluorene","PAHs",TRUE,"PHQ-9 depression","Mental health","continuous",0.559314894561007,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMHP","LBXSUA",-0.287416766174204,0.0679621741147606,-4.22906962465434,0.0516214754575136,1578,"Mono-2-ethylhexyl (MEHP)","Phthalates",TRUE,"Uric acid","Kidney","continuous",0.566659376793617,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBPB","log_HOMA_IR",-0.130998719088159,0.0318476787023143,-4.11328939583404,0.0543325089861393,2342,"Blood lead","Heavy metals",FALSE,"HOMA-IR (log)","Metabolic","continuous",0.566659376793617,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXTHG","LBXHGB",0.0906611255353718,0.0220899651127396,4.10417694517255,0.0545546377394901,4941,"Blood mercury (total)","Heavy metals",FALSE,"Hemoglobin","Hematology","continuous",0.566659376793617,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","log_LBXSAPSI",0.0515205610200761,0.0125767838768883,4.09648138382602,0.0547432605552474,4833,"Blood lead","Heavy metals",FALSE,"Alk Phos (log)","Liver","continuous",0.566659376793617,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMC1","log_LBXIN",0.0990811499641885,0.0243672011227649,4.06616867751884,0.0554955652623925,765,"Mono-carboxyisononyl (MCNP)","Phthalates",TRUE,"Insulin (log)","Metabolic","continuous",0.566659376793617,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMIB","LBXSBU",0.625259329459784,0.155887984634336,4.01095267814542,0.0569051611397066,1578,"Mono-isobutyl phthalate (MiBP)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.566659376793617,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXP10","LBXSBU",0.732156767744295,0.183044900752727,3.99987524773146,0.0571942257084348,1580,"1-Hydroxypyrene","PAHs",TRUE,"Blood urea nitrogen","Kidney","continuous",0.566659376793617,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMOH","log_LBXIN",0.115401942323548,0.0289946541467083,3.98011101424534,0.0577153068956462,765,"Mono-2-ethyl-5-oxohexyl (MEOHP)","Phthalates",TRUE,"Insulin (log)","Metabolic","continuous",0.566659376793617,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBSE","log_LBXSTR",0.400398349812631,0.10199877936396,3.92552099455917,0.0591909799447585,4832,"Blood selenium","Heavy metals",FALSE,"Triglycerides (log)","Metabolic","continuous",0.570262307911439,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXTHG","BMXBMI",-0.449743077891168,0.152260127539593,-2.95378104010992,0.0598423409536695,4944,"Blood mercury (total)","Heavy metals",FALSE,"BMI","Anthropometric","continuous",0.570262307911439,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBSE","LBXSTB",0.205660489098798,0.0543874790012392,3.78139404281106,0.063360987048616,4834,"Blood selenium","Heavy metals",FALSE,"Total bilirubin","Liver","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBSE","log_LBXHSCRP",-0.512971508169457,0.136931012337697,-3.74620401479523,0.0644437974736803,4828,"Blood selenium","Heavy metals",FALSE,"CRP (log)","Inflammation","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXPFDE","LBXHGB",0.233747918151854,0.0624988690529317,3.74003436692411,0.0646364015666497,1595,"PFDeA","PFAS",FALSE,"Hemoglobin","Hematology","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBMN","log_LBXSAPSI",0.0632137711616705,0.0169439225469533,3.73076369928503,0.0649273861877343,4833,"Blood manganese","Heavy metals",FALSE,"Alk Phos (log)","Liver","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMHP","LBXSBU",1.02747784573761,0.277186125634586,3.7068155680062,0.0656879080815883,1578,"Mono-2-ethylhexyl (MEHP)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXP03","BMXBMI",0.55609383001801,0.19794902201583,2.80927798659969,0.0673330143113661,1656,"3-Hydroxyfluorene","PAHs",TRUE,"BMI","Anthropometric","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXPFHS","LBXTC",7.84092323498563,2.16484352817398,3.62193531908487,0.0684899334334184,1595,"PFHxS","PFAS",FALSE,"Total cholesterol","Metabolic","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMHH","LBXSTB",-0.0316785839768171,0.00876123630131715,-3.61576641552912,0.0687002832225333,1580,"Mono-2-ethyl-5-hydroxyhexyl (MEHHP)","Phthalates",TRUE,"Total bilirubin","Liver","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_URXP06","log_LBXSAPSI",-0.0360669045707813,0.0100067022391454,-3.60427478592202,0.0690946290731995,1580,"1-Hydroxyphenanthrene","PAHs",TRUE,"Alk Phos (log)","Liver","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBMN","log_HOMA_IR",0.145705500409418,0.0406569206465269,3.58378101667336,0.069806060581895,2342,"Blood manganese","Heavy metals",FALSE,"HOMA-IR (log)","Metabolic","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXPFUA","LBXPLTSI",-6.61365591028461,1.84985126233848,-3.57523658519659,0.0701058074516144,1595,"PFUA","PFAS",FALSE,"Platelet count","Hematology","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXBMN","log_LBXSGB",0.037591713611191,0.0105617987229076,3.55921511074224,0.0706728925427221,4832,"Blood manganese","Heavy metals",FALSE,"GGT (log)","Liver","continuous",0.572450429596049,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBMN","LBXSBU",-1.25078477918707,0.354724152091511,-3.52607729643511,0.0718670390712701,4832,"Blood manganese","Heavy metals",FALSE,"Blood urea nitrogen","Kidney","continuous",0.574936312570161,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXPFNA","LBXRBCSI",0.0649198814459379,0.0188182508874285,3.44983611039575,0.0747274565950538,1595,"PFNA","PFAS",FALSE,"RBC count","Hematology","continuous",0.590529169190181,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","log_LBXSASSI",0.0394754470501238,0.0116676229126985,3.38333243587781,0.0773585424693149,4820,"Blood lead","Heavy metals",FALSE,"AST (log)","Liver","continuous",0.597378589590989,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMOH","LBXSTB",-0.0297933935133455,0.00882178973013705,-3.37725047011325,0.0776057925955613,1580,"Mono-2-ethyl-5-oxohexyl (MEOHP)","Phthalates",TRUE,"Total bilirubin","Liver","continuous",0.597378589590989,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_URXMHBP","LBXSBU",0.763536666580177,0.228062062809879,3.34793370354056,0.0788137064685589,1578,"Mono-3-hydroxy-n-butyl (MHBP)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.597378589590989,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMZP","BMXBMI",0.607918008486279,0.232394633155109,2.61588660733199,0.079281726396335,1681,"Mono-benzyl phthalate (MBzP)","Phthalates",TRUE,"BMI","Anthropometric","continuous",0.597378589590989,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMIB","BMXWAIST",1.21951688673709,0.469300448514831,2.59858453277944,0.0804742058653487,1618,"Mono-isobutyl phthalate (MiBP)","Phthalates",TRUE,"Waist circumference","Anthropometric","continuous",0.599394085066046,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXP03","log_LBXSAPSI",-0.0271805762914937,0.00832213347528806,-3.26605868221224,0.0823338544522661,1567,"3-Hydroxyfluorene","PAHs",TRUE,"Alk Phos (log)","Liver","continuous",0.602225969091391,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXTHG","LBXGH",-0.0274888764552098,0.00843854567079619,-3.2575372022151,0.082713134643725,4937,"Blood mercury (total)","Heavy metals",FALSE,"HbA1c","Metabolic","continuous",0.602225969091391,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_LBXPFDE","log_LBXHSCRP",-0.174372167393152,0.0539360886472679,-3.23294053696615,0.0838220697057564,1594,"PFDeA","PFAS",FALSE,"CRP (log)","Inflammation","continuous",0.603518901881446,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_URXP10","BMXBMI",0.562423168798254,0.222558730184604,2.52707754187735,0.0856432407129235,1668,"1-Hydroxypyrene","PAHs",TRUE,"BMI","Anthropometric","continuous",0.609855164637081,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMNP","LBXSUA",-0.164887672942795,0.0527983724794695,-3.12296885679405,0.0890500931010117,1578,"Mono-n-butyl phthalate (MnBP)","Phthalates",TRUE,"Uric acid","Kidney","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_URXMCOH","LBXSBU",0.528975845856109,0.173653359071508,3.0461595945189,0.0929825231372011,1578,"Mono-carboxyisoctyl (MCOP)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXBPB","log_LBXIN",-0.0868440997436009,0.0286780990393697,-3.02823766750997,0.0939356805725496,2342,"Blood lead","Heavy metals",FALSE,"Insulin (log)","Metabolic","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_URXMC1","BMXWAIST",1.27576169638339,0.526962090908141,2.42097433267886,0.0940867815399495,1618,"Mono-carboxyisononyl (MCNP)","Phthalates",TRUE,"Waist circumference","Anthropometric","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXP06","LBXSBU",0.515320338864424,0.17108643683939,3.01204670799351,0.0948088039725721,1581,"1-Hydroxyphenanthrene","PAHs",TRUE,"Blood urea nitrogen","Kidney","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMHNC","LBXSBU",0.438902429871244,0.145918624638738,3.00785750248037,0.0950365969498019,1578,"Mono-hydroxyisononyl cyclohexane (MHiNCH)","Phthalates",TRUE,"Blood urea nitrogen","Kidney","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXMZP","BMXWAIST",1.21208887506571,0.505121425733292,2.39959901385316,0.0959090609657223,1618,"Mono-benzyl phthalate (MBzP)","Phthalates",TRUE,"Waist circumference","Anthropometric","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_LBXPFHS","log_LBXSGB",-0.0167412507574996,0.00560353653693521,-2.98762230729667,0.0961479649643846,1589,"PFHxS","PFAS",FALSE,"GGT (log)","Liver","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Negative"
"log_URXP04","LBXWBCSI",0.287625301288081,0.0967422109148014,2.97311068837765,0.0969564109851725,1618,"2-Hydroxyfluorene","PAHs",TRUE,"WBC count","Hematology","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXP03","LBXWBCSI",0.214983530766491,0.07238735311138,2.96990456932032,0.0971363294269678,1607,"3-Hydroxyfluorene","PAHs",TRUE,"WBC count","Hematology","continuous",0.623211301670051,1,FALSE,FALSE,FALSE,FALSE,"Positive"
"log_URXP04","log_LBXSAPSI",-0.0286175661539492,0.00971597453999274,-2.94541386827992,0.0985264878520023,1578,"2-Hydroxyfluorene","PAHs",TRUE,"Alk Phos (log)","Liver","continuous",0.625932981648014,1,FALSE,FALSE,FALSE,FALSE,"Negative"
